127.0.0.1 - - [23/May/2023:10:59:15 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:16 +0700] "GET /BOOKINGTOUR/ HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:22 +0700] "POST /BOOKINGTOUR/login.htm HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:23 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:34 +0700] "GET /BOOKINGTOUR/danhsachnhanvien.htm HTTP/1.1" 200 33172
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:34 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:34 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:38 +0700] "GET /BOOKINGTOUR/dsdiemluutru.htm HTTP/1.1" 200 51192
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:38 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:10:59:38 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:08 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48398
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:08 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:08 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:10 +0700] "POST /BOOKINGTOUR/insertDiemDuLich.htm HTTP/1.1" 200 44999
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:10 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:10 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:14 +0700] "POST /BOOKINGTOUR/insertDiemDuLich.htm HTTP/1.1" 200 47141
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:14 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:14 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:20 +0700] "GET /BOOKINGTOUR/dsdiemluutru.htm HTTP/1.1" 200 51192
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:20 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:20 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:30 +0700] "GET /BOOKINGTOUR/diemdulich.htm HTTP/1.1" 200 51409
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:30 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:30 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:32 +0700] "GET /BOOKINGTOUR/diemdulich.htm HTTP/1.1" 200 51409
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:32 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:32 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:34 +0700] "GET /BOOKINGTOUR/diemdulich.htm HTTP/1.1" 200 51409
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:34 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:34 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:38 +0700] "GET /BOOKINGTOUR/diemdulich.htm HTTP/1.1" 200 51409
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:38 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:38 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:43 +0700] "GET /BOOKINGTOUR/diemdulich.htm HTTP/1.1" 200 51409
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:43 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:43 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:49 +0700] "GET /BOOKINGTOUR/xoadiemdulich/35.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:49 +0700] "GET /BOOKINGTOUR/diemdulich.htm?message=1 HTTP/1.1" 200 49230
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:49 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:00:49 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:46 +0700] "GET /BOOKINGTOUR/danhsachnhanvien.htm HTTP/1.1" 200 33172
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:46 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:46 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:51 +0700] "GET /BOOKINGTOUR/dsdiemluutru.htm HTTP/1.1" 200 51192
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:51 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:51 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:54 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48398
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:54 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:54 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:01:58 +0700] "GET /BOOKINGTOUR/suadiemdulich/.htm HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/May/2023:11:02:01 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48398
0:0:0:0:0:0:0:1 - - [23/May/2023:11:02:01 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:02:01 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:31 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48882
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:31 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:31 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:36 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48882
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:36 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:36 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:14 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48882
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:14 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:14 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:15 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48882
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:15 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:15 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:21 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48882
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:21 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:21 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:14:47 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49147
0:0:0:0:0:0:0:1 - - [23/May/2023:11:14:47 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:14:47 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:14:49 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49147
0:0:0:0:0:0:0:1 - - [23/May/2023:11:14:49 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:14:49 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:18:28 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49055
0:0:0:0:0:0:0:1 - - [23/May/2023:11:18:28 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:18:28 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:18:30 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49055
0:0:0:0:0:0:0:1 - - [23/May/2023:11:18:30 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:18:30 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:19:54 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49078
0:0:0:0:0:0:0:1 - - [23/May/2023:11:19:54 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:19:54 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
