127.0.0.1 - - [14/Jun/2023:02:51:05 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:06 +0700] "GET /QLXB/ HTTP/1.1" 200 3616
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:13 +0700] "POST /QLXB/login.htm HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:13 +0700] "GET /QLXB/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:13 +0700] "GET /QLXB/images/logo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:13 +0700] "GET /QLXB/images/logo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:13 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:14 +0700] "GET /QLXB/danhsachnhanvien.htm HTTP/1.1" 200 35242
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:14 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:14 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:28 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 17396
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:28 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:28 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:32 +0700] "GET /QLXB/danhsachnhanvien.htm HTTP/1.1" 200 35242
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:32 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:32 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:34 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 17396
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:34 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:34 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:36 +0700] "GET /QLXB/cttuyenduong/18.htm HTTP/1.1" 200 19329
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:36 +0700] "GET /QLXB/cttuyenduong/assets/css/trangchu.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:36 +0700] "GET /QLXB/cttuyenduong/assets/css/all.css HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:37 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 17396
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:37 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:37 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:46 +0700] "GET /QLXB/danhsachnhanvien.htm HTTP/1.1" 200 35242
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:46 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:46 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:47 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 17396
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:47 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:47 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:50 +0700] "GET /QLXB/dsxe.htm HTTP/1.1" 200 33703
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:51 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:51:51 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:05 +0700] "GET /QLXB/suaxe/51B-234.90%20%20.htm HTTP/1.1" 200 9782
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:05 +0700] "GET /QLXB/suaxe/assets/css/trangchu.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:05 +0700] "GET /QLXB/suaxe/assets/css/all.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:11 +0700] "GET /QLXB/dsxe.htm HTTP/1.1" 200 33703
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:12 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:12 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:24 +0700] "GET /QLXB/lichsunhap.htm HTTP/1.1" 200 16021
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:24 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:24 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:32 +0700] "GET /QLXB/lichsunhap.htm HTTP/1.1" 200 16021
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:32 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:32 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:33 +0700] "GET /QLXB/themdoanhthu.htm HTTP/1.1" 200 10517
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:33 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:33 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:37 +0700] "GET /QLXB/dsgiave.htm HTTP/1.1" 200 14569
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:37 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:37 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:40 +0700] "GET /QLXB/suagiave/9.htm HTTP/1.1" 200 9390
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:40 +0700] "GET /QLXB/suagiave/assets/css/trangchu.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:40 +0700] "GET /QLXB/suagiave/assets/css/all.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:41 +0700] "GET /QLXB/dsgiave.htm HTTP/1.1" 200 14569
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:41 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:41 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:42 +0700] "GET /QLXB/danhsachnhanvien.htm HTTP/1.1" 200 35242
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:42 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:42 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:51 +0700] "GET /QLXB/danhsachnhanvien.htm HTTP/1.1" 200 35242
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:51 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:51 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:53 +0700] "GET /QLXB/doimatkhau.htm HTTP/1.1" 200 8760
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:53 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:53 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:56 +0700] "GET /QLXB/suattcanhan.htm HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:56 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:52:56 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:04 +0700] "GET /QLXB/homeshow.htm HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:06 +0700] "GET /QLXB/danhsachnhanvien.htm HTTP/1.1" 200 35242
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:06 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:06 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:11 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 17396
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:11 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:11 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:21 +0700] "GET /QLXB/dstramxe.htm HTTP/1.1" 200 14107
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:21 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:21 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:34 +0700] "GET /QLXB/suatramxe/QPN%20014%20%20%20.htm HTTP/1.1" 200 9157
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:34 +0700] "GET /QLXB/suatramxe/assets/css/all.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:34 +0700] "GET /QLXB/suatramxe/assets/css/trangchu.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:37 +0700] "GET /QLXB/dstramxe.htm HTTP/1.1" 200 14107
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:37 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
